Country Code,Country Name,Region,Income Group,Year,% of female pop. age 25+ with no education,% of female pop. age 25+ with primary schooling,% of female pop. age 25+ with secondary schooling,% of female pop. age 25+ with tertiary schooling,% of pop. age 25+ with no education,% of pop. age 25+ with primary schooling,% of pop. age 25+ with secondary schooling,% of pop. age 25+ with tertiary schooling,"Avg. years of primary schooling, age 25+, female","Avg. years of primary schooling, age 25+, total","Avg. years of secondary schooling, age 25+, female","Avg. years of secondary schooling, age 25+, total","Avg. years of tertiary schooling, age 25+, female","Avg. years of tertiary schooling, age 25+, total","Avg. years of total schooling, age 25+, female","Avg. years of total schooling, age 25+, total","Pop. in thousands, age 25+, female","Pop. in thousands, age 25+, total",Life Expectancy at birth
ASM,American Samoa,East Asia & Pacific,Upper middle income,2005,,,,,,,,,,,,,,,,,,,
ASM,American Samoa,East Asia & Pacific,Upper middle income,2010,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,1970,,,,,,,,,,,,,,,,,,,65.847
ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,1975,,,,,,,,,,,,,,,,,,,66.975
ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,1980,,,,,,,,,,,,,,,,,,,68.482
ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,1985,,,,,,,,,,,,,,,,,,,70.137
ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,1990,,,,,,,,,,,,,,,,,,,71.52
ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,1995,,,,,,,,,,,,,,,,,,,72.732
ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,2000,,,,,,,,,,,,,,,,,,,73.94
ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,2005,,,,,,,,,,,,,,,,,,,75.019
ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD,2010,,,,,,,,,,,,,,,,,,,75.823
AUS,Australia,East Asia & Pacific,High income: OECD,1970,0.9,15.51,33.19,5.37,0.9,15.37,29.45,14.05,5.51,5.53,2.93,3.11,0.31,0.71,8.75,9.35,3442.0,6834.0,71.0185365853659
AUS,Australia,East Asia & Pacific,High income: OECD,1975,1.1,8.34,42.79,7.04,1.0,8.44,41.7,12.59,5.69,5.7,3.58,3.7,0.4,0.64,9.67,10.04,3790.0,7494.0,72.6253658536586
AUS,Australia,East Asia & Pacific,High income: OECD,1980,1.1,3.8,49.32,9.95,1.0,4.1,49.93,13.5,5.82,5.83,4.22,4.28,0.56,0.68,10.6,10.79,4269.0,8382.0,74.3336585365854
AUS,Australia,East Asia & Pacific,High income: OECD,1985,1.38,3.7,50.17,11.92,1.2,3.88,50.86,14.93,5.79,5.8,4.39,4.46,0.66,0.76,10.84,11.02,4739.0,9297.0,75.6292682926829
AUS,Australia,East Asia & Pacific,High income: OECD,1990,1.5,4.1,50.96,14.0,1.3,4.23,52.0,16.0,5.77,5.8,4.52,4.59,0.74,0.81,11.04,11.2,5308.0,10445.0,76.9946341463415
AUS,Australia,East Asia & Pacific,High income: OECD,1995,1.62,5.03,50.13,15.6,1.4,4.95,52.22,16.87,5.74,5.78,4.58,4.67,0.83,0.86,11.14,11.31,5843.0,11351.0,77.8292682926829
AUS,Australia,East Asia & Pacific,High income: OECD,2000,1.37,5.39,51.99,15.67,1.21,5.43,54.98,15.91,5.75,5.79,4.58,4.66,0.82,0.81,11.16,11.26,6405.0,12409.0,79.2341463414634
AUS,Australia,East Asia & Pacific,High income: OECD,2005,1.2,5.12,49.41,19.68,1.06,5.25,52.95,19.47,5.79,5.82,4.67,4.74,1.02,0.98,11.48,11.54,6896.0,13384.0,80.8414634146341
AUS,Australia,East Asia & Pacific,High income: OECD,2010,0.87,3.59,30.24,26.25,0.78,4.04,35.37,25.18,5.86,5.88,4.59,4.63,1.36,1.26,11.81,11.77,7414.0,14424.0,81.6951219512195
AUT,Austria,Europe & Central Asia,High income: OECD,1970,3.57,46.64,11.11,0.58,4.14,38.49,19.3,1.7,5.15,5.14,1.52,2.41,0.03,0.09,6.7,7.63,2564.0,4636.0,69.9146341463415
AUT,Austria,Europe & Central Asia,High income: OECD,1975,1.44,44.05,14.66,0.7,1.62,36.1,23.65,1.92,5.02,5.0,1.94,2.88,0.04,0.1,7.0,7.98,2593.0,4719.0,71.1146341463415
AUT,Austria,Europe & Central Asia,High income: OECD,1980,0.1,42.17,18.12,0.86,0.1,34.3,27.59,2.15,4.86,4.82,2.32,3.27,0.05,0.11,7.23,8.2,2610.0,4759.0,72.4634146341463
AUT,Austria,Europe & Central Asia,High income: OECD,1985,0.1,39.3,22.24,1.56,0.1,31.32,32.15,2.77,4.63,4.57,2.75,3.7,0.09,0.14,7.47,8.41,2667.0,4901.0,73.8146341463415
AUT,Austria,Europe & Central Asia,High income: OECD,1990,0.2,36.14,26.49,2.82,0.19,28.67,36.36,3.92,4.38,4.33,3.21,4.11,0.15,0.2,7.74,8.64,2790.0,5208.0,75.5682926829269
AUT,Austria,Europe & Central Asia,High income: OECD,1995,0.61,33.55,29.49,3.79,0.6,26.35,38.68,5.34,4.17,4.14,3.59,4.45,0.2,0.27,7.97,8.87,2956.0,5617.0,76.6682926829268
AUT,Austria,Europe & Central Asia,High income: OECD,2000,0.93,29.64,32.07,5.63,1.08,22.83,40.37,7.58,3.76,3.81,4.03,4.84,0.3,0.38,8.09,9.04,3035.0,5806.0,78.1268292682927
AUT,Austria,Europe & Central Asia,High income: OECD,2005,1.36,25.77,32.59,7.53,1.52,19.37,40.06,10.17,3.78,3.82,4.37,5.15,0.39,0.51,8.55,9.48,3091.0,5949.0,79.3317073170732
AUT,Austria,Europe & Central Asia,High income: OECD,2010,1.33,22.56,35.19,8.81,1.48,16.72,42.51,11.53,3.81,3.84,4.73,5.47,0.46,0.58,9.0,9.89,3151.0,6119.0,80.5804878048781
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,1970,,,,,,,,,,,,,,,,,,,63.141
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,1975,,,,,,,,,,,,,,,,,,,63.776
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,1980,,,,,,,,,,,,,,,,,,,64.161
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,1985,,,,,,,,,,,,,,,,,,,64.913
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,1990,,,,,,,,,,,,,,,,,,,64.827
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,1995,,,,,,,,,,,,,,,,,,,65.256
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2000,,,,,,,,,,,,,,,,,,,66.763
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2005,,,,,,,,,,,,,,,,,,,68.747
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2010,,,,,,,,,,,,,,,,,,,70.938
BDI,Burundi,Sub-Saharan Africa,Low income,1970,91.64,2.69,0.27,0.08,87.64,4.25,0.38,0.1,0.42,0.62,0.04,0.05,0.0,0.0,0.46,0.67,686.0,1256.0,43.841
BDI,Burundi,Sub-Saharan Africa,Low income,1975,90.48,3.22,0.36,0.08,84.66,5.5,0.6,0.16,0.48,0.79,0.05,0.08,0.0,0.01,0.53,0.87,693.0,1239.0,45.242
BDI,Burundi,Sub-Saharan Africa,Low income,1980,89.04,4.01,0.49,0.09,81.48,7.06,0.88,0.22,0.57,0.98,0.06,0.11,0.0,0.01,0.63,1.09,783.0,1415.0,46.852
BDI,Burundi,Sub-Saharan Africa,Low income,1985,86.45,5.35,0.68,0.13,78.31,8.82,1.11,0.33,0.72,1.17,0.08,0.13,0.01,0.02,0.8,1.32,939.0,1736.0,48.08
BDI,Burundi,Sub-Saharan Africa,Low income,1990,86.72,5.55,0.78,0.13,76.66,10.04,1.28,0.38,0.72,1.28,0.08,0.15,0.01,0.02,0.81,1.44,1086.0,2026.0,47.829
BDI,Burundi,Sub-Saharan Africa,Low income,1995,82.43,7.61,1.13,0.17,74.33,11.34,1.69,0.37,0.94,1.39,0.11,0.18,0.01,0.02,1.06,1.59,1139.0,2111.0,46.758
BDI,Burundi,Sub-Saharan Africa,Low income,2000,78.95,9.32,1.52,0.18,70.91,13.12,2.16,0.38,1.15,1.6,0.15,0.22,0.01,0.02,1.31,1.84,1130.0,2061.0,49.091
BDI,Burundi,Sub-Saharan Africa,Low income,2005,71.69,13.46,1.97,0.27,63.59,17.34,2.84,0.4,1.52,1.98,0.2,0.29,0.01,0.02,1.74,2.28,1311.0,2449.0,53.369
BDI,Burundi,Sub-Saharan Africa,Low income,2010,64.95,19.55,2.75,0.35,57.28,21.29,3.41,0.58,1.94,2.29,0.28,0.36,0.02,0.03,2.24,2.68,1635.0,3118.0,57.228
BEL,Belgium,Europe & Central Asia,High income: OECD,1970,0.72,54.5,7.7,2.12,0.73,52.49,8.8,3.88,5.52,5.57,1.24,1.44,0.11,0.18,6.86,7.19,3110.0,5935.0,70.9719512195122
BEL,Belgium,Europe & Central Asia,High income: OECD,1975,1.91,44.97,9.81,3.64,1.93,42.95,11.22,5.76,5.41,5.46,1.57,1.79,0.18,0.27,7.15,7.52,3193.0,6097.0,71.9712195121951
BEL,Belgium,Europe & Central Asia,High income: OECD,1980,2.87,39.64,12.59,5.44,2.92,37.33,14.06,7.87,5.44,5.49,1.95,2.19,0.27,0.37,7.66,8.05,3302.0,6297.0,73.2070731707317
BEL,Belgium,Europe & Central Asia,High income: OECD,1985,4.95,30.52,15.94,7.78,4.78,28.47,17.28,10.39,5.38,5.43,2.44,2.66,0.39,0.49,8.21,8.58,3399.0,6488.0,74.520243902439
BEL,Belgium,Europe & Central Asia,High income: OECD,1990,5.37,23.74,18.8,9.86,5.18,22.1,20.12,12.57,5.38,5.44,2.86,3.06,0.51,0.6,8.74,9.1,3532.0,6768.0,76.0519512195122
BEL,Belgium,Europe & Central Asia,High income: OECD,1995,5.39,18.85,27.36,11.74,5.13,17.31,28.34,14.53,5.43,5.48,3.43,3.59,0.62,0.71,9.48,9.78,3658.0,7023.0,76.8407317073171
BEL,Belgium,Europe & Central Asia,High income: OECD,2000,5.0,13.75,25.71,13.68,4.69,12.68,27.03,16.44,5.5,5.54,3.72,3.84,0.75,0.82,9.97,10.2,3767.0,7265.0,77.7219512195122
BEL,Belgium,Europe & Central Asia,High income: OECD,2005,4.92,11.5,31.29,15.55,4.55,10.46,32.92,18.07,5.53,5.58,4.08,4.19,0.84,0.9,10.45,10.67,3844.0,7428.0,78.9804878048781
BEL,Belgium,Europe & Central Asia,High income: OECD,2010,5.45,10.92,29.7,17.77,5.0,9.83,31.73,20.27,5.48,5.53,4.11,4.24,0.96,1.01,10.54,10.78,3907.0,7569.0,80.1829268292683
BEN,Benin,Sub-Saharan Africa,Low income,1970,94.24,1.56,0.39,0.06,89.26,3.11,0.78,0.19,0.26,0.49,0.07,0.13,0.0,0.01,0.33,0.63,558.0,1036.0,42.152
BEN,Benin,Sub-Saharan Africa,Low income,1975,94.22,1.68,0.4,0.06,89.22,3.35,0.79,0.19,0.27,0.5,0.07,0.13,0.0,0.01,0.34,0.64,618.0,1146.0,44.882
BEN,Benin,Sub-Saharan Africa,Low income,1980,94.3,1.83,0.4,0.06,89.2,3.61,0.8,0.19,0.27,0.51,0.07,0.13,0.0,0.01,0.35,0.65,703.0,1314.0,47.19
BEN,Benin,Sub-Saharan Africa,Low income,1985,91.66,2.52,0.83,0.12,84.62,4.57,1.91,0.48,0.41,0.77,0.14,0.3,0.01,0.02,0.55,1.09,813.0,1535.0,50.034
BEN,Benin,Sub-Saharan Africa,Low income,1990,88.58,3.31,1.51,0.21,79.67,5.41,3.69,0.86,0.58,1.05,0.24,0.52,0.01,0.04,0.82,1.62,937.0,1776.0,53.812
BEN,Benin,Sub-Saharan Africa,Low income,1995,84.48,4.46,2.58,0.33,74.1,6.92,6.24,1.05,0.8,1.36,0.36,0.74,0.02,0.05,1.17,2.15,1105.0,2150.0,55.203
BEN,Benin,Sub-Saharan Africa,Low income,2000,80.3,5.94,3.75,0.53,69.6,8.68,8.08,1.48,1.02,1.61,0.47,0.88,0.03,0.07,1.52,2.57,1278.0,2497.0,55.391
BEN,Benin,Sub-Saharan Africa,Low income,2005,77.87,7.0,5.1,0.63,66.1,9.95,10.39,1.55,1.16,1.8,0.56,1.03,0.03,0.08,1.75,2.91,1500.0,2977.0,57.355
BEN,Benin,Sub-Saharan Africa,Low income,2010,75.56,8.59,7.04,0.72,64.09,9.85,13.01,2.07,1.33,1.95,0.69,1.25,0.04,0.1,2.06,3.3,1797.0,3595.0,59.318
BFA,Burkina Faso,Sub-Saharan Africa,Low income,1970,,,,,,,,,,,,,,,,,,,39.095
BFA,Burkina Faso,Sub-Saharan Africa,Low income,1975,,,,,,,,,,,,,,,,,,,41.63
BFA,Burkina Faso,Sub-Saharan Africa,Low income,1980,,,,,,,,,,,,,,,,,,,46.049
BFA,Burkina Faso,Sub-Saharan Africa,Low income,1985,,,,,,,,,,,,,,,,,,,49.323
BFA,Burkina Faso,Sub-Saharan Africa,Low income,1990,,,,,,,,,,,,,,,,,,,49.454
BFA,Burkina Faso,Sub-Saharan Africa,Low income,1995,,,,,,,,,,,,,,,,,,,49.445
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2000,,,,,,,,,,,,,,,,,,,50.489
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2005,,,,,,,,,,,,,,,,,,,53.31
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2010,,,,,,,,,,,,,,,,,,,57.096
BGD,Bangladesh,South Asia,Low income,1970,92.72,4.59,0.35,0.05,80.92,9.45,2.27,0.37,0.33,0.88,0.04,0.26,0.0,0.02,0.37,1.16,11433.0,24392.0,46.942
BGD,Bangladesh,South Asia,Low income,1975,93.0,4.5,0.47,0.06,82.3,8.51,2.45,0.57,0.32,0.85,0.06,0.3,0.0,0.03,0.38,1.18,12699.0,26670.0,48.313
